,trapEmax,t90,t10,t50
11767,1810.5066504497308,3521.0,3520.0,3516.0
11768,14199.886250000021,12023.0,7792.0,7777.0
11769,81.36676785714259,827.0,132.0,99.0
11770,-24.5855535714286,2.0,1.0,0.0
11771,50.08731856180591,821.0,90.0,47.0
11772,4.662035710094739,264.0,49.0,23.0
11773,9226.607607142849,14017.0,3670.0,3669.0
11774,8668.024291002586,15486.0,10531.0,10530.0
11775,10361.967625000018,7021.0,7020.0,7018.0
11776,1810.5066504497308,3521.0,3520.0,3516.0
11777,14199.886250000021,12023.0,7792.0,7777.0
11778,-85.80855357142899,1.0,0.0,0.0
11779,-124.52936862867563,1.0,0.0,0.0
11780,35.41966071428583,903.0,154.0,153.0
11781,47.34243469451983,850.0,169.0,132.0
11782,66.4757142857141,792.0,121.0,82.0
11783,19.11012499999987,975.0,91.0,40.0
11784,38.520879934932594,902.0,176.0,139.0
11785,-21.904678571428587,1.0,0.0,0.0
